id,name,season,ip,so,bb,hr,er,gs
657277,Logan Webb,2023,216.0,194,31,20,78,33
657376,Clarke Schmidt,2023,159.0,149,46,24,82,32
657514,Brennan Bernardino,2023,50.67,58,18,4,18,6
657571,Caleb Ferguson,2023,60.33,70,23,4,23,7
657746,Joe Ryan,2023,161.67,197,34,32,81,29
657756,Connor Seabold,2023,87.33,67,28,19,73,13
658648,Pedro Avila,2023,50.33,54,25,3,18,6
659275,Dinelson Lamet,2023,27.67,32,23,7,36,4
659275,Dinelson Lamet,2023,2.0,1,1,1,3,0
659275,Dinelson Lamet,2023,25.67,31,22,6,33,4
660261,Shintaro Fujinami,2023,79.0,83,45,9,63,7
660261,Shintaro Fujinami,2023,29.67,32,15,3,16,0
660261,Shintaro Fujinami,2023,49.33,51,30,6,47,7
660271,Shohei Ohtani,2023,132.0,167,55,18,46,23
660593,Denyi Reyes,2023,19.67,17,8,3,17,3
660761,José Suarez,2023,33.67,28,20,10,31,7
660813,Brusdar Graterol,2023,67.33,48,12,3,9,1
660906,Francisco Pérez,2023,16.67,14,8,0,11,1
661309,Adrián Martinez,2023,55.0,47,19,8,29,1
663362,Matt Waldron,2023,41.33,31,12,9,20,6
663372,Ryan Feltner,2023,43.33,38,28,2,28,10
663423,Trent Thornton,2023,31.33,26,6,5,7,1
663423,Trent Thornton,2023,26.0,21,5,5,6,1
663423,Trent Thornton,2023,5.33,5,1,0,1,0
663460,Kris Bubic,2023,16.0,16,2,1,7,3
663465,Kolby Allard,2023,12.33,13,4,2,9,3
663474,Triston McKenzie,2023,16.0,16,13,1,9,4
663556,Shane McClanahan,2023,115.0,121,41,15,42,21
663559,Bailey Falter,2023,80.67,60,20,17,48,14
663559,Bailey Falter,2023,40.33,32,12,10,25,7
663559,Bailey Falter,2023,40.33,28,8,7,23,7
663562,Noah Davis,2023,30.0,26,15,6,29,6
663567,Peter Lambert,2023,87.33,71,28,18,52,11
663574,Tony Santillan,2023,3.33,1,5,0,1,0
663623,Jake Irvin,2023,121.0,99,54,20,62,24
663687,Hogan Harris,2023,63.0,56,28,10,50,6
663704,James McArthur,2023,23.33,23,2,2,12,2
663738,Daniel Lynch IV,2023,52.33,34,16,9,27,9
663753,Reiss Knehr,2023,5.67,4,5,3,10,1
663765,Jake Woodford,2023,47.67,29,22,11,33,8
663773,Bryan Hoeing,2023,70.67,53,25,13,43,7
663776,Patrick Sandoval,2023,144.67,128,74,12,66,28
663855,Jordan Hicks,2023,65.67,81,32,4,24,0
663855,Jordan Hicks,2023,41.67,59,24,2,17,0
663855,Jordan Hicks,2023,24.0,22,8,2,7,0
663878,Nate Pearson,2023,42.67,43,18,7,23,0
663903,Brady Singer,2023,159.67,133,49,20,98,29
663941,Tristan Beck,2023,85.0,68,21,10,37,3
663947,Tyler Holton,2023,85.33,74,18,9,20,1
663978,Chris Paddack,2023,5.0,8,1,1,3,0
664028,Brett Kennedy,2023,18.0,9,7,1,13,2
664062,Tony Gonsolin,2023,103.0,82,40,19,57,20
664192,Joey Lucchesi,2023,46.67,32,17,4,15,9
664199,Taylor Clarke,2023,59.0,65,24,12,39,2
664285,Framber Valdez,2023,198.0,200,57,19,76,31
