date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2024-11-10,2024020237,Chicago Blackhawks,Minnesota Wild,2,1,1,22.0,33.0,,
2024-11-10,2024020238,Anaheim Ducks,Columbus Blue Jackets,4,2,0,30.0,,,
2024-11-11,2024020239,Buffalo Sabres,Montréal Canadiens,5,7,0,18.0,23.0,,
2024-11-11,2024020240,Philadelphia Flyers,San Jose Sharks,4,3,1,43.0,31.0,,
2024-11-11,2024020241,Pittsburgh Penguins,Dallas Stars,1,7,0,,40.0,,
2024-11-11,2024020242,Calgary Flames,Los Angeles Kings,3,1,0,28.0,,,
2024-11-11,2024020243,Colorado Avalanche,Nashville Predators,3,2,1,32.0,,,
2024-11-11,2024020244,Vegas Golden Knights,Carolina Hurricanes,2,5,0,,34.0,,
2024-11-12,2024020245,Toronto Maple Leafs,Ottawa Senators,0,3,0,27.0,41.0,,
2024-11-12,2024020246,Florida Panthers,New Jersey Devils,1,4,0,,,,
2024-11-12,2024020247,New York Rangers,Winnipeg Jets,3,6,0,36.0,33.0,,
2024-11-12,2024020248,St. Louis Blues,Boston Bruins,2,3,0,22.0,30.0,,
2024-11-12,2024020249,Edmonton Oilers,New York Islanders,4,3,1,,22.0,,
2024-11-12,2024020250,Vancouver Canucks,Calgary Flames,3,1,0,32.0,29.0,,
2024-11-12,2024020251,Seattle Kraken,Columbus Blue Jackets,5,2,0,33.0,40.0,,
2024-11-13,2024020252,Pittsburgh Penguins,Detroit Red Wings,2,3,1,33.0,,,
2024-11-13,2024020253,Washington Capitals,Toronto Maple Leafs,3,4,1,,34.0,,
2024-11-13,2024020254,Utah Hockey Club,Carolina Hurricanes,4,1,0,,,,
2024-11-13,2024020255,Colorado Avalanche,Los Angeles Kings,4,2,0,,15.0,,
2024-11-13,2024020256,Anaheim Ducks,Vegas Golden Knights,2,3,0,24.0,,,
2024-11-14,2024020257,Buffalo Sabres,St. Louis Blues,4,3,1,,,,
2024-11-14,2024020258,Ottawa Senators,Philadelphia Flyers,4,5,1,37.0,,,
2024-11-14,2024020259,Tampa Bay Lightning,Winnipeg Jets,4,1,0,,,,
2024-11-14,2024020260,Florida Panthers,New Jersey Devils,2,6,0,27.0,,,
2024-11-14,2024020261,New York Rangers,San Jose Sharks,3,2,0,35.0,27.0,,
2024-11-14,2024020262,Dallas Stars,Boston Bruins,7,2,0,38.0,25.0,,
2024-11-14,2024020263,Minnesota Wild,Montréal Canadiens,3,0,0,,19.0,,
2024-11-14,2024020264,Edmonton Oilers,Nashville Predators,3,2,1,34.0,22.0,,
2024-11-14,2024020265,Vancouver Canucks,New York Islanders,2,5,0,26.0,32.0,,
2024-11-14,2024020266,Seattle Kraken,Chicago Blackhawks,3,1,0,,19.0,,
2024-11-15,2024020267,Columbus Blue Jackets,Pittsburgh Penguins,6,2,0,39.0,23.0,,
2024-11-15,2024020268,Colorado Avalanche,Washington Capitals,2,5,0,19.0,20.0,,
2024-11-15,2024020269,Calgary Flames,Nashville Predators,2,0,0,,29.0,,
2024-11-15,2024020270,Utah Hockey Club,Vegas Golden Knights,2,4,0,,,,
2024-11-15,2024020271,Anaheim Ducks,Detroit Red Wings,6,4,0,,25.0,,
2024-11-16,2024020272,Boston Bruins,St. Louis Blues,2,3,1,,,,
2024-11-16,2024020273,Seattle Kraken,New York Islanders,3,2,0,,24.0,,
2024-11-16,2024020274,Toronto Maple Leafs,Edmonton Oilers,4,3,1,22.0,,,
2024-11-16,2024020275,Montréal Canadiens,Columbus Blue Jackets,5,1,0,30.0,,,
2024-11-16,2024020276,Tampa Bay Lightning,New Jersey Devils,4,0,0,26.0,,,
2024-11-16,2024020277,Florida Panthers,Winnipeg Jets,5,0,0,,27.0,,
2024-11-16,2024020278,Philadelphia Flyers,Buffalo Sabres,5,2,0,,25.0,,
2024-11-16,2024020279,Pittsburgh Penguins,San Jose Sharks,4,3,1,36.0,29.0,,
2024-11-16,2024020280,Carolina Hurricanes,Ottawa Senators,4,0,0,28.0,24.0,,
2024-11-16,2024020281,Minnesota Wild,Dallas Stars,1,2,0,23.0,40.0,,
2024-11-16,2024020282,Los Angeles Kings,Detroit Red Wings,4,1,0,41.0,18.0,,
2024-11-16,2024020283,Vancouver Canucks,Chicago Blackhawks,4,1,0,33.0,29.0,,
2024-11-17,2024020284,Carolina Hurricanes,St. Louis Blues,4,1,0,24.0,,,
2024-11-17,2024020285,Vancouver Canucks,Nashville Predators,3,5,0,27.0,,,
2024-11-17,2024020286,Vegas Golden Knights,Washington Capitals,2,5,0,42.0,,,
2024-11-17,2024020287,Seattle Kraken,New York Rangers,0,2,0,24.0,23.0,,
2024-11-18,2024020288,Boston Bruins,Columbus Blue Jackets,1,5,0,,,,
2024-11-18,2024020289,Philadelphia Flyers,Colorado Avalanche,2,3,0,26.0,29.0,,
